name,url,type,weight,bias_label,regions,notes
IMF Blog,https://www.imf.org/external/pubs/ft/fandd/rss/fd.xml,rss,1.6,center,Global,"Macro trends, globalization"
World Bank Blogs,https://blogs.worldbank.org/feed,rss,1.5,center,Global,Development + policy
Rest of World,https://restofworld.org/rss,rss,1.6,center,"Global,Asia,LatAm,Africa",Tech + culture outside the West
MIT Technology Review,https://www.technologyreview.com/feed,rss,1.5,center,Global,Emerging tech impacts
TechCrunch (Policy/Creator),https://techcrunch.com/feed/,rss,1.3,center,"US,Global","Startups, creator economy"
AfroTech,https://afrotech.com/feed,rss,1.5,niche,"US,Global",Black tech + business culture
UNESCO Culture,https://www.unesco.org/feeds/culture,rss,1.4,center,Global,Cultural policy and heritage
Brookings Global Economy,https://www.brookings.edu/topic/global-economy/feed/,rss,1.3,center,Global,Policy analysis
Financial Times – Alphaville,https://www.ft.com/alphaville,site,1.4,center,"Global,EU,UK","Markets, globalization (some paywall)"
The Economist (Free),https://www.economist.com,site,1.4,center,Global,Analysis (respect paywalls)
TechCabal,https://techcabal.com/feed/,rss,1.5,niche,Africa,African tech + venture
Techpoint Africa,https://techpoint.africa/feed/,rss,1.4,niche,Africa,Startups + policy
The Africa Report – Economy,https://www.theafricareport.com/category/economy/feed/,rss,1.3,center,Africa,Macro + business
Loop News Caribbean (Business),https://caribbean.loopnews.com/section/business/feed,rss,1.3,center,Caribbean,Regional economy + culture
Jamaica Observer – Business,https://www.jamaicaobserver.com/feed/,rss,1.2,center,Caribbean,Jamaica-focused; filter by business tags
Americas Quarterly,https://www.americasquarterly.org/feed/,rss,1.3,center,LatAm,Policy + business in the Americas
Nikkei Asia (Free Articles),https://asia.nikkei.com/rss,rss,1.3,center,Asia,Asia markets + tech (respect paywalls)
The Ken (Free/India),https://the-ken.com/feed/,rss,1.2,center,"India,SEA",Longform business (limited free)
OECD Insights,https://oecdinsights.org/feed/,rss,1.3,center,"Global,EU",Policy + data
Wired (Business/Policy),https://www.wired.com/feed/rss,rss,1.2,center,"US,Global",Tech + society
